clientnum,customer_age,dependent_count,gender,income_category,months_on_book,total_relationship_count,months_inactive_12_mon,credit_limit,total_revolving_bal,total_trans_amt,avg_open_to_buy,total_trans_ct,avg_utilization_ratio,status,card_category,education_level,marital_status
716474358,43,3,F,Less than $40K,35,5,3,1721.0,729,4853,992.0,74,0.424,Existing Customer,Blue,Unknown,Married
818770008,49,5,F,Less than $40K,44,6,1,8256.0,864,1291,7392.0,33,0.105,Existing Customer,Blue,Graduate,Single
713982108,51,3,M,$80K - $120K,36,4,1,3418.0,0,1887,3418.0,20,0.0,Existing Customer,Blue,Graduate,Married
769911858,40,4,F,Less than $40K,34,3,4,3313.0,2517,1171,796.0,20,0.76,Existing Customer,Blue,High School,Unknown
709106358,40,3,M,$60K - $80K,21,5,1,4716.0,0,816,4716.0,28,0.0,Existing Customer,Blue,Uneducated,Married
713061558,44,2,M,$40K - $60K,36,3,1,4010.0,1247,1088,2763.0,24,0.311,Existing Customer,Blue,Graduate,Married
810347208,51,4,M,$120K +,46,6,1,34516.0,2264,1330,32252.0,31,0.066,Existing Customer,Gold,Unknown,Married
818906208,32,0,M,$60K - $80K,27,2,2,29081.0,1396,1538,27685.0,36,0.048,Existing Customer,Silver,High School,Unknown
710930508,37,3,M,$60K - $80K,36,5,2,22352.0,2517,1350,19835.0,24,0.113,Existing Customer,Blue,Uneducated,Single
719661558,48,2,M,$80K - $120K,36,6,3,11656.0,1677,1441,9979.0,32,0.144,Existing Customer,Blue,Graduate,Single
708790833,42,5,M,$120K +,31,5,3,6748.0,1467,1201,5281.0,42,0.217,Existing Customer,Blue,Uneducated,Unknown
710821833,65,1,M,$40K - $60K,54,6,2,9095.0,1587,1314,7508.0,26,0.174,Existing Customer,Blue,Unknown,Married
710599683,56,1,M,$80K - $120K,36,3,6,11751.0,0,1539,11751.0,17,0.0,Existing Customer,Blue,College,Single
816082233,35,3,M,$60K - $80K,30,5,1,8547.0,1666,1311,6881.0,33,0.195,Existing Customer,Blue,Graduate,Unknown
